Method addClients was called,2022-04-28 12:58:23.347
Method showClients was called,2022-04-28 12:58:23.381
Method createAccount was called,2022-04-28 12:58:23.385
Method addCards was called,2022-04-28 12:58:23.386
Method addTransactions was called,2022-04-28 12:58:30.827
Method showAllExchanges was called,2022-04-28 12:58:30.828
Method addClients was called,2022-04-28 13:00:16.26
Method showClients was called,2022-04-28 13:00:16.317
Method createAccount was called,2022-04-28 13:00:16.32
Method addCards was called,2022-04-28 13:00:16.322
Method addTransactions was called,2022-04-28 13:00:23.953
Method showAllExchanges was called,2022-04-28 13:00:23.954
Method addClients was called,2022-04-28 13:02:11.136
Method showClients was called,2022-04-28 13:02:11.17
Method createAccount was called,2022-04-28 13:02:11.175
Method addCards was called,2022-04-28 13:02:11.176
Method showCards was called,2022-04-28 13:02:48.279
Method addTransactions was called,2022-04-28 13:02:48.281
Method showAllExchanges was called,2022-04-28 13:02:48.281
Method addClients was called,2022-04-28 13:11:45.192
Method showClients was called,2022-04-28 13:11:45.244
Method createAccount was called,2022-04-28 13:11:45.247
Method addCards was called,2022-04-28 13:11:45.249
Method addClients was called,2022-04-28 13:16:58.709
Method showClients was called,2022-04-28 13:16:58.758
Method createAccount was called,2022-04-28 13:16:58.761
Method addCards was called,2022-04-28 13:16:58.762
Method showCards was called,2022-04-28 13:17:20.691
Method addTransactions was called,2022-04-28 13:17:20.693
Method showAllExchanges was called,2022-04-28 13:17:20.693
Method addClients was called,2022-04-28 13:19:01.343
Method showClients was called,2022-04-28 13:19:01.384
Method createAccount was called,2022-04-28 13:19:01.385
Method addCards was called,2022-04-28 13:19:01.387
Method showClients was called,2022-04-28 13:28:21.033
Method addClients was called,2022-04-28 13:28:22.749
Method createAccount was called,2022-04-28 13:28:23.712
Method showClients was called,2022-04-28 13:28:24.617
Method addCards was called,2022-04-28 13:29:34.379
Method addClients was called,2022-04-28 13:31:56.968
Method showClients was called,2022-04-28 13:32:01.725
Method showClients was called,2022-04-28 13:32:19.106
Method showClients was called,2022-04-28 13:44:26.726
Method showAllExchanges was called,2022-04-28 13:46:09.722
Method addClients was called,2022-04-28 13:48:14.671
Method showClients was called,2022-04-28 13:48:14.724
Method createAccount was called,2022-04-28 13:48:14.726
Method addCards was called,2022-04-28 13:48:14.727
Method showClients was called,2022-04-28 13:51:19.241
Method addClients was called,2022-04-28 13:51:31.685
Method createAccount was called,2022-04-28 13:51:35.205
Method addCards was called,2022-04-28 13:51:38.066
Method showCards was called,2022-04-28 13:51:45.146
Method addTransactions was called,2022-04-28 13:51:51.464
Method showAllExchanges was called,2022-04-28 13:51:52.457
Method addClients was called,2022-04-28 14:03:39.921
Method showClients was called,2022-04-28 14:03:39.95
Method createAccount was called,2022-04-28 14:03:39.952
Method addCards was called,2022-04-28 14:03:39.953
Method showCards was called,2022-04-28 14:04:34.191
Method addTransactions was called,2022-04-28 14:04:34.193
Method showAllExchanges was called,2022-04-28 14:04:34.193
Method shoeAllTransactions was called,2022-04-28 14:04:44.92
Method addClients was called,2022-04-28 14:09:41.12
Method showClients was called,2022-04-28 14:09:41.153
Method addClients was called,2022-05-05 13:32:09.866
Method showClients was called,2022-05-05 13:32:09.895
Method addClients was called,2022-05-05 13:36:23.276
Method showClients was called,2022-05-05 13:36:23.301
Method addClients was called,2022-05-05 13:36:47.776
Method showClients was called,2022-05-05 13:36:47.805
Method createAccount was called,2022-05-05 13:36:47.81
Method addCards was called,2022-05-05 13:36:47.814
Method addClients was called,2022-05-05 13:37:07.462
Method showClients was called,2022-05-05 13:37:07.491
Method createAccount was called,2022-05-05 13:37:07.494
Method addCards was called,2022-05-05 13:37:07.496
Method showCards was called,2022-05-05 13:37:41.864
Method addClients was called,2022-05-05 13:38:03.626
Method showClients was called,2022-05-05 13:38:03.655
Method createAccount was called,2022-05-05 13:38:03.658
Method addCards was called,2022-05-05 13:38:03.659
Method showCards was called,2022-05-05 13:38:05.594
Method addClients was called,2022-05-05 13:39:05.753
Method showClients was called,2022-05-05 13:39:05.784
Method createAccount was called,2022-05-05 13:39:05.785
Method addCards was called,2022-05-05 13:39:05.785
Method showCards was called,2022-05-05 13:39:15.139
Method addTransactions was called,2022-05-05 13:39:15.139
Method showAllExchanges was called,2022-05-05 13:39:15.139
Method addClients was called,2022-05-06 18:38:20.06
Method showClients was called,2022-05-06 18:38:20.092
Method createAccount was called,2022-05-06 18:38:20.1
Method addCards was called,2022-05-06 18:38:20.1
